group,formula,mass
MNXR103502_MNXM21,C9H21N3O,187.1685
MNXR103520_MNXM771,C9H23N3O,189.1841
MNXR108328_MNXM279,C9H7NO4,193.0375
MNXR108328_MNXM2390,C9H9NO4,195.0532
MNXR104045_MNXM79,C5H11NO2Se,196.9955
MNXR110488_MNXM217,C10H17NO3,199.1208
MNXR100074_MNXM89557,C3H8NO5SP,200.9861
MNXR97455_MNXM21,C10H26N4,202.2157
MNXR112981_MNXM55,C15H24,204.1878
MNXR100065_MNXM29,C8H15NOS2,205.0595
MNXR104529_MNXM34,C15H26,206.2035
MNXR112850_MNXM87,C10H15N3O2,209.1164
MNXR112851_MNXM87,C10H16N3O2,210.1237
MNXR95495_MNXM125,C4H8NO7P,213.0038
MNXR101980_MNXM555,C5H10O7P,213.0159
MNXR104887_MNXM386,C5H11O7P,214.0242
MNXR100452_MNXM683,C8H14N2O5,218.0903
MNXR103049_MNXM1226,C9H17NO5,219.1107
MNXR108158_MNXM42,C8H16N2O5,220.1059
MNXR101980_MNXM194,CH3O9P2,220.9258
MNXR96884_MNXM2,CH5NO8P2,220.949
MNXR95296_MNXM23,C8H15NO6,221.0899
MNXR100064_MNXM183,C8H20N2OS2,224.1017
MNXR103518_MNXM344,C9H12N2O5,228.0746
MNXR103377_MNXM158,C5H11O8P,230.0192
MNXR100064_MNXM79,C9H20N2OS2,236.1017
MNXR103331_MNXM332,C9H11N5O3,237.0862
MNXR104365_MNXM187,C16H32O,240.2453
MNXR97821_MNXM452,C9H13N3O5,243.0855
MNXR105164_MNXM423,C9H12N2O6,244.0695
MNXR103503_MNXM21,C12H28N4O,244.2263
MNXR99634_MNXM100,C5H12O7P2,246.0058
MNXR104321_MNXM1676,C10H12N5O3,250.0935
MNXR104321_MNXM3291,H4O10P3,256.9023
MNXR103331_MNXM467,H5O10P3,257.9096
MNXR95528_MNXM26,C6H14NO8P,259.0457
MNXR101745_MNXM168,C6H13O7SP,260.012
MNXR105090_MNXM52,C6H13O9P,260.0297
MNXR99402_MNXM40,C16H36O2,260.2715
MNXR107111_MNXM89588,C3H8O10P2,265.9593
MNXR95492_MNXM123,C10H13N5O4,267.0968
MNXR103120_MNXM415,C3H9NO8SP2,280.9524
MNXR118525_MNXM563,C19H38O,282.2923
MNXR96222_MNXM425,C20H28O,284.214
MNXR99623_MNXM237,C7H15N2O8P,286.0566
MNXR111926_MNXM88,C20H30O,286.2297
MNXR95949_MNXM211,C4H9NO10P2,292.9702
MNXR108665_MNXM32,C11H19NO8,293.1111
MNXR96042_MNXM408,C11H16N5O3S,298.0968
MNXR107235_MNXM89795,C18H37NO2,299.2824
MNXR107655_MNXM22,C14H12N2O6,304.0695
MNXR108561_MNXM945,C9H9NO3I,305.9633
MNXR101009_MNXM909,C10H16N3O6S,306.0754
MNXR110808_MNXM1198,C10H16N3O6S,306.0765
MNXR97054_MNXM63,C9H14N3O7P,307.0569
MNXR104357_MNXM39,C10H17N3O6S,307.0838
MNXR104889_MNXM183,C9H13N2O8P,308.041
MNXR103139_MNXM29,C5H13NO10P2,309.0015
MNXR95295_MNXM63,C11H19NO9,309.106
MNXR99623_MNXM79,C8H15N2O9P,314.0515
MNXR99634_MNXM83,C10H20O7P2,314.0684
MNXR108536_MNXM992,C21H34O2,318.2559
MNXR103446_MNXM286,C10H15N2O8P,322.0566
MNXR97060_MNXM360,C9H14N3O8P,323.0519
MNXR110745_MNXM38414,C10H17N3O7S,323.0787
MNXR105070_MNXM89588,C9H13N2O9P,324.0359
MNXR100287_MNXM90003,C5H13NO11P2,324.9964
MNXR95454_MNXM286,C10H14N5O6P,331.0682
MNXR95639_MNXM237,C9H15N4O8P,338.0628
MNXR107111_MNXM126,C6H14O12P2,339.996
MNXR108021_MNXM3414,C6H4OI2,345.8352
MNXR99209_MNXM119,C10H14N5O7P,347.0631
MNXR109039_MNXM992,C21H34O4,350.2457
MNXR104529_MNXM292,H6O14P4,353.8708
MNXR100384_MNXM89557,C10H14N5O8P,363.058
MNXR100384_MNXM37,C10H13N4O9P,364.042
MNXR95639_MNXM79,C10H15N4O9P,366.0577
MNXR99650_MNXM83,C15H28O7P2,382.131
MNXR101981_MNXM2172,C14H20N6O5S,384.1216
MNXR104271_MNXM2840,C14H21N6O5S,385.1289
MNXR104066_MNXM1,C9H13N2O11P2,387
MNXR97051_MNXM374,C9H15N3O10P2,387.0233
MNXR102231_MNXM235,C5H13O14P3,389.9518
MNXR108918_MNXM29,C24H40O4,392.2927
MNXR103446_MNXM374,C10H16N2O11P2,402.0229
MNXR112851_MNXM19914,C9H13N2O12P2,402.9949
MNXR105119_MNXM17,C9H15N3O11P2,403.0182
MNXR105124_MNXM436,C9H14N2O12P2,404.0022
MNXR104060_MNXM1,C10H14N5O9P2,410.0272
MNXR97051_MNXM411,C10H15N5O9P2,411.0345
MNXR105310_MNXM20,C12H19N4O7SP2,425.0444
MNXR94779_MNXM713,C10H14N5O10P2,426.021
MNXR105437_MNXM9,C10H15N5O10P2,427.0294
MNXR105324_MNXM160,C10H14N4O11P2,428.0134
MNXR109294_MNXM29,C23H37NO5S,439.2392
MNXR105163_MNXM80,C10H15N5O11P2,443.0243
MNXR104889_MNXM257,C19H21N7O6,443.1553
MNXR100330_MNXM29,C19H22N7O6,444.1626
MNXR96884_MNXM138,C10H17N5O11P2,445.04
MNXR104045_MNXM1676,C19H23N7O6,445.171
MNXR108021_MNXM525,C9H9NO4I2,448.8621
MNXR99672_MNXM79,C11H15N5O11P2,455.0243
MNXR104045_MNXM2562,C20H25N7O6,459.1866
MNXR97050_MNXM266,C9H16N3O13P3,466.9896
MNXR97821_MNXM338,C9H15N2O14P3,467.9736
MNXR103100_MNXM86,C11H15N5O12P2,471.0192
MNXR100281_MNXM89557,C20H24N8O6,472.1819
MNXR99623_MNXM463,C20H23N7O7,473.1659
MNXR100064_MNXM1277,C20H26N8O6,474.1975
MNXR100142_MNXM29,C20H25N7O7,475.1815
MNXR99846_MNXM89588,C10H17N2O14P3,481.9893
MNXR102498_MNXM187,C9H16N3O14P3,482.9845
MNXR105120_MNXM80,C9H15N2O15P3,483.9685
MNXR102487_MNXM73,C11H15N5O13P2,487.0142
MNXR97051_MNXM266,C10H16N5O12P3,491.0008
MNXR113275_MNXM89557,C25H40N2O6S,496.2607
MNXR95949_MNXM42,C16H25N8O9P,504.1482
MNXR108572_MNXM2868,C10H15N5O13SP2,506.9862
MNXR105437_MNXM2,C10H16N5O13P3,506.9957
MNXR105164_MNXM288,C10H15N4O14P3,507.9798
MNXR99668_MNXM1392,C10H17N5O13P3,508.003
MNXR105163_MNXM288,C10H16N5O14P3,522.9907
MNXR101888_MNXM216,C15H22N5O13P2,542.0684
MNXR107218_MNXM70,C15H23N5O14P2,559.0717
MNXR105090_MNXM336,C15H24N2O17P2,566.055
MNXR96485_MNXM138,C15H24N6O14P2,574.0826
MNXR110814_MNXM3152,C15H22N2O18P2,580.0343
MNXR103139_MNXM90003,C12H21N6O15P3,582.0278
MNXR106397_MNXM216,C15H23N5O16P3,622.0347
MNXR96485_MNXM60,C15H26N7O16P3,653.0649
MNXR100074_MNXM55,C15H25N6O17P3,654.0489
MNXR97778_MNXM34,C35H60O7P2,654.3814
MNXR100658_MNXM554,C30H38N4O13,662.2435
MNXR104923_MNXM9200,C21H28N7O14P2,664.1164
MNXR97678_MNXM37,C21H27N6O15P2,665.1004
MNXR100658_MNXM554,C30H41N5O13,679.2701
MNXR105347_MNXM384,C21H29N7O15P2,681.1197
MNXR99236_MNXM57,C22H29N7O15P2,693.1197
MNXR100330_MNXM79,C22H32N8O14P2,694.1513
MNXR102616_MNXM114091,C21H31N7O16P2,699.1303
MNXR112794_MNXM1676,C29H37N9O12,703.2562
MNXR112794_MNXM2562,C30H39N9O12,717.2718
MNXR105284_MNXM2494,C21H29N7O17P3,744.0827
MNXR100450_MNXM29,C18H30N7O18SP3,757.0581
MNXR103683_MNXM64920,C22H32N7O17P3,759.1068
MNXR95807_MNXM263,C21H31N8O17P3,760.102
MNXR104236_MNXM384,C21H30N7O18P3,761.086
MNXR102425_MNXM23,C21H35N7O16SP3,766.1068
MNXR108112_MNXM396,C21H36N7O16SP3,767.1152
MNXR95495_MNXM42,C20H26N9O18P3,773.0609
MNXR134312_MNXM327,C22H32N7O18P3,775.1017
MNXR105368_MNXM114091,C21H32N7O19P3,779.0966
MNXR103119_MNXM55,C18H34N4O22P4,782.0615
MNXR99314_MNXM22,C21H36N7O17SP3,783.1101
MNXR106737_MNXM55,C24H34N8O16SP2,784.1289
MNXR103187_MNXM114,C27H34N9O15P2,786.1644
MNXR97778_MNXM83,C45H76O7P2,790.5066
MNXR118525_MNXM1947,C22H36N7O17SP3,795.1101
MNXR103120_MNXM55,C19H34N6O21P4,806.0727
MNXR94939_MNXM88,C23H38N7O17SP3,809.1258
MNXR104347_MNXM559,C22H36N7O18SP3,811.105
MNXR99368_MNXM21,C23H42N7O17SP3,813.1571
MNXR124918_MNXM173,C24H40N7O17SP3,823.1414
MNXR95196_MNXM21,C25H42N7O17SP3,837.1571
MNXR99896_MNXM245,C21H31N7O21P4,841.0523
MNXR104635_MNXM25,C21H37N7O19SP4,847.0815
MNXR102148_MNXM25,C25H40N7O18SP3,851.1363
MNXR96421_MNXM173,C26H44N7O17SP3,851.1727
MNXR108282_MNXM2,C21H31N7O19P3Se,858.0047
MNXR105303_MNXM55,C24H35N8O19SP3,864.0952
MNXR109092_MNXM21,C27H46N7O17SP3,865.1884
MNXR104616_MNXM173,C25H40N7O19SP3,867.1313
MNXR99415_MNXM21,C27H50N7O17SP3,869.2197
MNXR95010_MNXM21,C28H40N7O17SP3,871.1414
MNXR102612_MNXM29,C29H42N7O17SP3,885.1571
MNXR96944_MNXM15,C19H28N7O24P5,892.9874
MNXR95198_MNXM21,C29H50N7O17SP3,893.2197
MNXR103100_MNXM60,C24H41N7O20SP4,903.1078
MNXR104539_MNXM292,C21H32N7O24P5,921.0187
MNXR102341_MNXM108,C21H38N7O22SP5,927.0479
MNXR96376_MNXM173,C31H54N7O18SP3,937.2459
MNXR95365_MNXM22,C33H56N7O17SP3,947.2666
MNXR95201_MNXM21,C33H58N7O17SP3,949.2823
MNXR99393_MNXM40,C33H62N7O17SP3,953.3136
MNXR96379_MNXM173,C33H58N7O18SP3,965.2772
MNXR97778_MNXM83,C45H80O14P4,968.4499
MNXR100097_MNXM57,C31H44N10O20SP2,970.1929
MNXR95203_MNXM21,C35H62N7O17SP3,977.3136
MNXR96884_MNXM15,C21H31N10O25P5,978.015
MNXR99399_MNXM40,C35H66N7O17SP3,981.3449
MNXR96382_MNXM173,C35H62N7O18SP3,993.3085
MNXR95367_MNXM22,C37H64N7O17SP3,1003.3292
MNXR104347_MNXM53,C37H66N7O17SP3,1005.3449
MNXR99405_MNXM40,C37H70N7O17SP3,1009.3762
MNXR103450_MNXM40,C39H70N7O17SP3,1033.3762
MNXR124340_MNXM22,C40H70N7O17SP3,1045.3762
MNXR100098_MNXM57,C31H45N10O23SP3,1050.1593
MNXR103458_MNXM40,C43H78N7O17SP3,1089.4388
MNXR124343_MNXM21,C45H82N7O17SP3,1117.4701
MNXR96207_MNXM282,C45H74N7O19SP3,1141.3973
MNXR124346_MNXM22,C47H84N7O17SP3,1143.4857
MNXR124227_MNXM22,C48H78N7O19SP3,1181.4286
MNXR97778_MNXM1721,H28O49P14,1245.6026
MNXR95268_MNXM131,C31H52N12O29SP6,1274.111
MNXR105063_MNXM52,C42H56N14O29P4,1344.2288
MNXR101665_MNXM244,C42H64N14O30SP5,1431.2316
MNXR99314_MNXM272,C42H63N14O31SP5,1446.2192
MNXR104500_MNXM89658,C42H58N14O34P6,1488.1655
MNXR100659_MNXM333,C42H64N14O33SP6,1510.1896
MNXR99368_MNXM233,C48H69N16O32SP5,1568.2673
MNXR99405_MNXM272,C43H64N14O36SP6,1570.1754
MNXR99402_MNXM236,C64H94N21O53SP9,2315.2665
MNXR99373_MNXM342,C117H172N39O81S3P13,3917.629
MNXR99415_MNXM342,C129H192N42O108S3P18,4710.5262
